Event,RunTime,ADC,SiPM,DownTime,Temp
570,234974,166,28.62,46517,24.44
571,235485,135,24.92,46705,24.44
572,235557,124,23.92,46710,24.44
573,236001,568,189.84,46715,24.44
574,236204,291,50.97,46903,24.44
575,237252,63,17.91,47092,24.44
576,237761,50,15.67,47097,24.44
577,237802,316,56.81,47102,24.44
578,238003,561,174.17,47107,24.44
579,238455,639,249.88,47296,24.44
580,238969,515,147.53,47301,24.44
581,239891,302,53.3,47493,24.44
582,240299,82,20.36,47682,24.44
583,240994,188,32.01,47687,24.44
584,241345,668,291.28,47874,24.44
585,241415,176,30.09,47879,24.44
586,241476,204,34.73,47884,24.44
587,241976,430,101.41,47889,24.44
588,242433,140,25.42,48079,24.44
589,242954,665,286.02,48084,24.44
590,243990,515,147.53,48276,24.44
591,246504,63,17.91,48842,24.44
592,246932,112,22.94,48847,24.44
593,246959,102,22.15,48852,24.44
594,247242,348,65.64,49040,24.44
595,247373,96,21.67,49045,24.44
596,247405,615,227.36,49050,24.44
597,247779,391,82.35,49055,24.44
598,247901,159,27.66,49060,24.44
599,247976,108,22.63,49065,24.44
600,248988,391,82.35,49253,24.44
601,249571,184,31.36,49443,24.44
602,250658,57,16.93,49631,24.44
603,250793,126,24.09,49636,24.44
604,251542,243,41.74,49824,24.44
605,251889,204,34.73,49829,24.44
606,251934,115,23.18,49834,24.44
607,252297,359,69.86,50022,24.44
608,252344,92,21.32,50026,24.44
609,252776,78,19.92,50031,24.44
610,252839,79,20.03,50036,24.44
611,253355,472,125.87,50224,24.44
612,253787,112,22.94,50229,24.44
613,254222,233,39.92,50417,24.44
614,256495,295,51.75,50788,24.44
615,256695,327,59.28,50793,24.44
616,257846,176,30.09,50982,24.44
617,258709,97,21.75,51170,24.44
618,259440,66,18.36,51358,24.44
619,259457,63,17.91,51363,24.44
620,259464,608,202.86,51368,24.44
621,259483,286,49.78,51386,24.44
622,259716,531,160.62,51420,24.44
623,260393,359,69.86,51612,24.44
624,261589,359,69.86,51800,24.44
625,262336,231,39.55,51988,24.44
626,262617,236,40.44,51993,24.44
627,263761,748,436.69,52182,24.44
628,263899,537,162.17,52187,24.44
629,264202,170,29.19,52379,24.44
630,264475,441,109.77,52384,24.44
631,265298,62,17.75,52574,24.44
632,265395,99,21.91,52579,24.44
633,265829,572,183.73,52584,24.44
634,266357,487,132.65,52776,24.44
635,266391,188,32.01,52781,24.44
636,266909,211,35.96,52786,24.44
637,267389,230,39.39,52973,24.44
638,267404,88,20.96,52978,24.44
639,267577,177,30.25,52983,24.44
640,267810,156,27.28,52988,24.44
641,267819,56,16.76,52993,24.44
642,267908,775,556.41,52998,24.44
643,268935,480,130.21,53190,24.44
644,269316,435,104.92,53381,24.44
645,269338,860,906.43,53386,24.44
646,269594,156,27.28,53391,24.44
647,270358,312,55.68,53579,24.44
648,271309,432,101.61,53768,24.44
649,271484,344,64.67,53773,24.44
650,271618,49,15.48,53778,24.44
651,272430,261,45.09,53966,24.44
652,272863,377,76.28,53971,24.44
653,272908,434,104.89,53976,24.44
654,274217,127,24.18,54351,24.44
655,274293,120,23.58,54356,24.44
656,274686,126,24.09,54361,24.44
657,275329,428,101.58,54549,24.44
658,275873,480,130.21,54553,24.44
659,276241,102,22.15,54744,24.44
660,276316,127,24.18,54749,24.44
661,276594,115,23.18,54754,24.44
662,278748,304,53.73,55125,24.44
663,279499,255,43.96,55314,24.44
664,279905,172,29.49,55319,24.44
665,280258,451,113.08,55507,24.44
666,280808,671,277.06,55512,24.44
667,281230,275,47.73,55704,24.44
668,281424,704,326.52,55709,24.44
669,282579,472,125.87,55901,24.44
670,282780,127,24.18,55906,24.44
671,283369,156,27.28,56094,24.44
672,284372,496,144.49,56282,24.44
673,284406,176,30.09,56287,24.44
674,284664,94,21.5,56292,24.44
675,285570,408,90.57,56479,24.44
676,285819,326,59.13,56484,24.44
677,286712,108,22.63,56673,24.44
678,287543,287,50.23,56861,24.44
679,288194,645,245.27,57050,24.44
680,288371,220,37.58,57055,24.44
681,288395,387,81.05,57060,24.44
682,288492,184,31.36,57065,24.44
683,288993,271,46.93,57070,24.44
684,289356,423,97.36,57258,24.44
685,289727,531,160.62,57262,24.44
686,289878,254,43.77,57267,24.44
687,290395,543,164.77,57456,24.44
688,290449,99,21.91,57461,24.44
689,290904,352,66.89,57466,24.44
690,292518,291,50.97,57839,24.44
691,292790,384,80.08,57844,24.44
692,292968,496,144.49,57849,24.44
693,293250,521,150.31,58041,24.44
694,293293,179,30.55,58046,24.44
695,293361,231,39.55,58050,24.44
696,294604,124,23.92,58238,24.44
697,294640,63,17.91,58243,24.44
698,296279,96,21.67,58614,24.44
699,296438,79,20.03,58619,24.44
700,296716,126,24.09,58624,24.44
701,296975,334,61.44,58629,24.44
702,298469,50,15.67,59002,24.44
703,298868,359,69.86,59007,24.44
704,299309,96,21.67,59195,24.44
705,299475,775,556.41,59200,24.44
706,299691,51,15.86,59205,24.44
707,300000,176,30.09,59210,24.44
708,300428,71,19.06,59398,24.44
709,301212,224,38.29,59586,24.44
710,301223,63,17.91,59591,24.44
711,301689,537,162.17,59596,24.44
712,301860,224,38.29,59601,24.44
713,301954,79,20.03,59606,24.44
714,302460,531,160.62,59794,24.44
715,302501,115,23.18,59799,24.44
716,303588,876,937.51,59987,24.44
717,303709,120,23.58,59992,24.44
718,304294,359,69.86,60180,24.44
719,304322,408,90.57,60184,24.44
720,304359,76,19.69,60189,24.44
721,304538,371,73.82,60194,24.44
722,305606,508,144.95,60384,24.44
723,305826,156,27.28,60389,24.44
724,306572,78,19.92,60577,24.44
725,307433,268,46.26,60765,24.44
726,307689,124,23.92,60770,24.44
727,308202,494,141.37,60958,24.44
728,308635,353,67.64,60963,24.44
729,308705,579,187.32,60968,24.44
730,308723,76,19.69,60973,24.44
731,308885,205,34.91,60978,24.44
732,309942,176,30.09,61166,24.44
733,310195,147,26.19,61354,24.44
734,310513,56,16.76,61359,24.44
735,310898,435,104.92,61364,24.44
736,311373,496,144.49,61554,24.44
737,311605,112,22.94,61559,24.44
738,311974,284,49.41,61564,24.44
739,312876,480,130.21,61753,24.44
740,313287,152,26.78,61944,24.44
741,313558,384,80.08,61949,24.44
742,314822,71,19.06,62139,24.44
743,314974,472,125.87,62144,24.44
744,315770,396,85.28,62335,24.44
745,315879,236,40.44,62340,24.44
746,315886,110,22.78,62345,24.44
